year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2011,2,D18190 89 8,*,DEUTSCHE BANK AG,NAMEN AKT,,D18190,89,8,D1819089,D18190898
2011,2,D18190 90 8,,DEUTSCHE BANK AG,CALL,,D18190,90,8,D1819090,D18190908
2011,2,D18190 95 8,,DEUTSCHE BANK AG,PUT,,D18190,95,8,D1819095,D18190958
2011,2,E90215 10 9,*,TELVENT GIT SA,SHS,,E90215,10,9,E9021510,E90215109
2011,2,E90215 90 9,,TELVENT GIT SA,CALL,,E90215,90,9,E9021590,E90215909
2011,2,E90215 95 9,,TELVENT GIT SA,PUT,,E90215,95,9,E9021595,E90215959
2011,2,G0129K 10 4,*,AIRCASTLE LTD,COM,,G0129K,10,4,G0129K10,G0129K104
2011,2,G0129K 90 4,,AIRCASTLE LTD,CALL,,G0129K,90,4,G0129K90,G0129K904
2011,2,G0129K 95 4,,AIRCASTLE LTD,PUT,,G0129K,95,4,G0129K95,G0129K954
2011,2,G0229R 10 8,*,ALTERRA CAPITAL HOLDINGS LIM,COM,,G0229R,10,8,G0229R10,G0229R108
2011,2,G0229R 90 8,,ALTERRA CAPITAL HOLDINGS LIM,CALL,,G0229R,90,8,G0229R90,G0229R908
2011,2,G0229R 95 8,,ALTERRA CAPITAL HOLDINGS LIM,PUT,,G0229R,95,8,G0229R95,G0229R958
2011,2,G02602 10 3,*,AMDOCS LTD,ORD,,G02602,10,3,G0260210,G02602103
2011,2,G02602 90 3,,AMDOCS LTD,CALL,,G02602,90,3,G0260290,G02602903
2011,2,G02602 95 3,,AMDOCS LTD,PUT,,G02602,95,3,G0260295,G02602953
2011,2,G04136 10 0,*,A POWER ENERGY GENERAT SYS L,COM,,G04136,10,0,G0413610,G04136100
2011,2,G04136 90 0,,A POWER ENERGY GENERAT SYS L,CALL,,G04136,90,0,G0413690,G04136900
2011,2,G04136 95 0,,A POWER ENERGY GENERAT SYS L,PUT,,G04136,95,0,G0413695,G04136950
2011,2,G0450A 10 5,*,ARCH CAP GROUP LTD,ORD,,G0450A,10,5,G0450A10,G0450A105
2011,2,G0450A 90 5,,ARCH CAP GROUP LTD,CALL,,G0450A,90,5,G0450A90,G0450A905
2011,2,G0450A 95 5,,ARCH CAP GROUP LTD,PUT,,G0450A,95,5,G0450A95,G0450A955
2011,2,G0457F 10 7,*,ARCOS DORADOS HOLDINGS INC,SHS CLASS -A -,ADDED,G0457F,10,7,G0457F10,G0457F107
2011,2,G0457F 90 7,,ARCOS DORADOS HOLDINGS INC,CALL,ADDED,G0457F,90,7,G0457F90,G0457F907
2011,2,G0457F 95 7,,ARCOS DORADOS HOLDINGS INC,PUT,ADDED,G0457F,95,7,G0457F95,G0457F957
2011,2,G0464B 10 7,*,ARGO GROUP INTL HLDGS LTD,COM,,G0464B,10,7,G0464B10,G0464B107
2011,2,G0464B 90 7,,ARGO GROUP INTL HLDGS LTD,CALL,,G0464B,90,7,G0464B90,G0464B907
2011,2,G0464B 95 7,,ARGO GROUP INTL HLDGS LTD,PUT,,G0464B,95,7,G0464B95,G0464B957
2011,2,G0471F 10 9,,APCO OIL & GAS INTERNATIONAL,SHS,,G0471F,10,9,G0471F10,G0471F109
2011,2,G0535E 10 6,,ASIA PACIFIC WIRE & CABLE CO,ORD,ADDED,G0535E,10,6,G0535E10,G0535E106
2011,2,G05384 10 5,*,ASPEN INSURANCE HOLDINGS LTD,SHS,,G05384,10,5,G0538410,G05384105
2011,2,G05384 90 5,,ASPEN INSURANCE HOLDINGS LTD,CALL,,G05384,90,5,G0538490,G05384905
2011,2,G05384 95 5,,ASPEN INSURANCE HOLDINGS LTD,PUT,,G05384,95,5,G0538495,G05384955
2011,2,G05384 11 3,,ASPEN INSURANCE HOLDINGS LTD,PFD PRP INC EQ,,G05384,11,3,G0538411,G05384113
2011,2,G0539K 10 8,,ASIA ENTN & RESOURCES LTD,SHS,,G0539K,10,8,G0539K10,G0539K108
2011,2,G0585R 10 6,*,ASSURED GUARANTY LTD,COM,,G0585R,10,6,G0585R10,G0585R106
2011,2,G0585R 90 6,,ASSURED GUARANTY LTD,CALL,,G0585R,90,6,G0585R90,G0585R906
2011,2,G0585R 95 6,,ASSURED GUARANTY LTD,PUT,,G0585R,95,6,G0585R95,G0585R956
2011,2,G06368 10 7,,AUSTRALIA ACQUISITION CORP,SHS,,G06368,10,7,G0636810,G06368107
2011,2,G06368 11 5,,AUSTRALIA ACQUISITION CORP,*W EXP 99/99/999,,G06368,11,5,G0636811,G06368115
2011,2,G06368 12 3,,AUSTRALIA ACQUISITION CORP,UNIT 99/99/9999,,G06368,12,3,G0636812,G06368123
2011,2,G06750 10 6,,AUTOCHINA INTERNATIONAL LIMI,SHS,,G06750,10,6,G0675010,G06750106
2011,2,G0692U 10 9,*,AXIS CAPITAL HOLDINGS,SHS,,G0692U,10,9,G0692U10,G0692U109
2011,2,G0692U 90 9,,AXIS CAPITAL HOLDINGS,CALL,,G0692U,90,9,G0692U90,G0692U909
2011,2,G0692U 95 9,,AXIS CAPITAL HOLDINGS,PUT,,G0692U,95,9,G0692U95,G0692U959
2011,2,G10082 14 0,*,ENERGY XXI (BERMUDA) LTD,USD UNRS SHS,,G10082,14,0,G1008214,G10082140
2011,2,G10082 90 0,,ENERGY XXI (BERMUDA) LTD,CALL,,G10082,90,0,G1008290,G10082900
2011,2,G10082 95 0,,ENERGY XXI (BERMUDA) LTD,PUT,,G10082,95,0,G1008295,G10082950
2011,2,G1151C 10 1,*,ACCENTURE PLC IRELAND,SHS CLASS A,,G1151C,10,1,G1151C10,G1151C101
2011,2,G1151C 90 1,,ACCENTURE PLC IRELAND,CALL,,G1151C,90,1,G1151C90,G1151C901
2011,2,G1151C 95 1,,ACCENTURE PLC IRELAND,PUT,,G1151C,95,1,G1151C95,G1151C951
2011,2,G16252 10 1,*,BROOKFIELD INFRAST PARTNERS,LP INT UNIT,,G16252,10,1,G1625210,G16252101
2011,2,G16252 90 1,,BROOKFIELD INFRAST PARTNERS,CALL,,G16252,90,1,G1625290,G16252901
2011,2,G16252 95 1,,BROOKFIELD INFRAST PARTNERS,PUT,,G16252,95,1,G1625295,G16252951
2011,2,G16962 10 5,*,BUNGE LIMITED,COM,,G16962,10,5,G1696210,G16962105
2011,2,G16962 90 5,,BUNGE LIMITED,CALL,,G16962,90,5,G1696290,G16962905
2011,2,G16962 95 5,,BUNGE LIMITED,PUT,,G16962,95,5,G1696295,G16962955
2011,2,G19867 10 3,,CAZADOR ACQUISITION CORPORAT,SHS,,G19867,10,3,G1986710,G19867103
2011,2,G19867 11 1,,CAZADOR ACQUISITION CORPORAT,UNIT 99/99/9999,,G19867,11,1,G1986711,G19867111
2011,2,G19867 12 9,,CAZADOR ACQUISITION CORPORAT,*W EXP 99/99/999,,G19867,12,9,G1986712,G19867129
2011,2,G20045 20 2,*,CENTRAL EUROPEAN MEDIA ENTRP,CL A NEW,,G20045,20,2,G2004520,G20045202
2011,2,G20045 90 2,,CENTRAL EUROPEAN MEDIA ENTRP,CALL,,G20045,90,2,G2004590,G20045902
2011,2,G20045 95 2,,CENTRAL EUROPEAN MEDIA ENTRP,PUT,,G20045,95,2,G2004595,G20045952
2011,2,G2022L 11 4,*,CDC CORPORATION,SHS CLASS -A -,,G2022L,11,4,G2022L11,G2022L114
2011,2,G2022L 90 4,,CDC CORPORATION,CALL,,G2022L,90,4,G2022L90,G2022L904
2011,2,G2022L 95 4,,CDC CORPORATION,PUT,,G2022L,95,4,G2022L95,G2022L954
2011,2,G21082 10 5,*,CHINA YUCHAI INTL LTD,COM,,G21082,10,5,G2108210,G21082105
2011,2,G21082 90 5,,CHINA YUCHAI INTL LTD,CALL,,G21082,90,5,G2108290,G21082905
2011,2,G21082 95 5,,CHINA YUCHAI INTL LTD,PUT,,G21082,95,5,G2108295,G21082955
