year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2010,3,D18190 89 8,*,DEUTSCHE BANK AG,NAMEN AKT,,D18190,89,8,D1819089,D18190898
2010,3,D18190 90 8,,DEUTSCHE BANK AG,CALL,,D18190,90,8,D1819090,D18190908
2010,3,D18190 95 8,,DEUTSCHE BANK AG,PUT,,D18190,95,8,D1819095,D18190958
2010,3,E90215 10 9,*,TELVENT GIT SA,SHS,,E90215,10,9,E9021510,E90215109
2010,3,E90215 90 9,,TELVENT GIT SA,CALL,,E90215,90,9,E9021590,E90215909
2010,3,E90215 95 9,,TELVENT GIT SA,PUT,,E90215,95,9,E9021595,E90215959
2010,3,G0129K 10 4,*,AIRCASTLE LTD,COM,,G0129K,10,4,G0129K10,G0129K104
2010,3,G0129K 90 4,,AIRCASTLE LTD,CALL,,G0129K,90,4,G0129K90,G0129K904
2010,3,G0129K 95 4,,AIRCASTLE LTD,PUT,,G0129K,95,4,G0129K95,G0129K954
2010,3,G0219G 20 3,*,ALLIED WRLD ASSUR COM HLDG L,SHS,,G0219G,20,3,G0219G20,G0219G203
2010,3,G0219G 90 3,,ALLIED WRLD ASSUR COM HLDG L,CALL,,G0219G,90,3,G0219G90,G0219G903
2010,3,G0219G 95 3,,ALLIED WRLD ASSUR COM HLDG L,PUT,,G0219G,95,3,G0219G95,G0219G953
2010,3,G0229R 10 8,*,ALTERRA CAPITAL HOLDINGS LIM,COM,,G0229R,10,8,G0229R10,G0229R108
2010,3,G0229R 90 8,,ALTERRA CAPITAL HOLDINGS LIM,CALL,,G0229R,90,8,G0229R90,G0229R908
2010,3,G0229R 95 8,,ALTERRA CAPITAL HOLDINGS LIM,PUT,,G0229R,95,8,G0229R95,G0229R958
2010,3,G02602 10 3,*,AMDOCS LTD,ORD,,G02602,10,3,G0260210,G02602103
2010,3,G02602 90 3,,AMDOCS LTD,CALL,,G02602,90,3,G0260290,G02602903
2010,3,G02602 95 3,,AMDOCS LTD,PUT,,G02602,95,3,G0260295,G02602953
2010,3,G02995 10 1,,AMERICAN SAFETY INS HLDGS LT,ORD,DELETED,G02995,10,1,G0299510,G02995101
2010,3,G04136 10 0,*,A POWER ENERGY GENERAT SYS L,COM,,G04136,10,0,G0413610,G04136100
2010,3,G04136 90 0,,A POWER ENERGY GENERAT SYS L,CALL,,G04136,90,0,G0413690,G04136900
2010,3,G04136 95 0,,A POWER ENERGY GENERAT SYS L,PUT,,G04136,95,0,G0413695,G04136950
2010,3,G0450A 10 5,*,ARCH CAP GROUP LTD,ORD,,G0450A,10,5,G0450A10,G0450A105
2010,3,G0450A 90 5,,ARCH CAP GROUP LTD,CALL,,G0450A,90,5,G0450A90,G0450A905
2010,3,G0450A 95 5,,ARCH CAP GROUP LTD,PUT,,G0450A,95,5,G0450A95,G0450A955
2010,3,G0464B 10 7,*,ARGO GROUP INTL HLDGS LTD,COM,,G0464B,10,7,G0464B10,G0464B107
2010,3,G0464B 90 7,,ARGO GROUP INTL HLDGS LTD,CALL,,G0464B,90,7,G0464B90,G0464B907
2010,3,G0464B 95 7,,ARGO GROUP INTL HLDGS LTD,PUT,,G0464B,95,7,G0464B95,G0464B957
2010,3,G0471F 10 9,,APCO OIL & GAS INTERNATIONAL,SHS,,G0471F,10,9,G0471F10,G0471F109
2010,3,G05384 10 5,*,ASPEN INSURANCE HOLDINGS LTD,SHS,,G05384,10,5,G0538410,G05384105
2010,3,G05384 90 5,,ASPEN INSURANCE HOLDINGS LTD,CALL,,G05384,90,5,G0538490,G05384905
2010,3,G05384 95 5,,ASPEN INSURANCE HOLDINGS LTD,PUT,,G05384,95,5,G0538495,G05384955
2010,3,G05384 11 3,,ASPEN INSURANCE HOLDINGS LTD,PFD PRP INC EQ,,G05384,11,3,G0538411,G05384113
2010,3,G0539K 10 8,,ASIA ENTN & RESOURCES LTD,SHS,ADDED,G0539K,10,8,G0539K10,G0539K108
2010,3,G0539K 11 6,,ASIA ENTN & RESOURCES LTD,*W EXP 10/08/201,ADDED,G0539K,11,6,G0539K11,G0539K116
2010,3,G0585R 10 6,*,ASSURED GUARANTY LTD,COM,,G0585R,10,6,G0585R10,G0585R106
2010,3,G0585R 90 6,,ASSURED GUARANTY LTD,CALL,,G0585R,90,6,G0585R90,G0585R906
2010,3,G0585R 95 6,,ASSURED GUARANTY LTD,PUT,,G0585R,95,6,G0585R95,G0585R956
2010,3,G06750 10 6,,AUTOCHINA INTERNATIONAL LIMI,SHS,,G06750,10,6,G0675010,G06750106
2010,3,G0692U 10 9,*,AXIS CAPITAL HOLDINGS,SHS,,G0692U,10,9,G0692U10,G0692U109
2010,3,G0692U 90 9,,AXIS CAPITAL HOLDINGS,CALL,,G0692U,90,9,G0692U90,G0692U909
2010,3,G0692U 95 9,,AXIS CAPITAL HOLDINGS,PUT,,G0692U,95,9,G0692U95,G0692U959
2010,3,G10082 14 0,*,ENERGY XXI (BERMUDA) LTD,USD UNRS SHS,,G10082,14,0,G1008214,G10082140
2010,3,G10082 90 0,,ENERGY XXI (BERMUDA) LTD,CALL,,G10082,90,0,G1008290,G10082900
2010,3,G10082 95 0,,ENERGY XXI (BERMUDA) LTD,PUT,,G10082,95,0,G1008295,G10082950
2010,3,G1151C 10 1,*,ACCENTURE PLC IRELAND,SHS CLASS A,,G1151C,10,1,G1151C10,G1151C101
2010,3,G1151C 90 1,,ACCENTURE PLC IRELAND,CALL,,G1151C,90,1,G1151C90,G1151C901
2010,3,G1151C 95 1,,ACCENTURE PLC IRELAND,PUT,,G1151C,95,1,G1151C95,G1151C951
2010,3,G16252 10 1,*,BROOKFIELD INFRAST PARTNERS,LP INT UNIT,,G16252,10,1,G1625210,G16252101
2010,3,G16252 90 1,,BROOKFIELD INFRAST PARTNERS,CALL,,G16252,90,1,G1625290,G16252901
2010,3,G16252 95 1,,BROOKFIELD INFRAST PARTNERS,PUT,,G16252,95,1,G1625295,G16252951
2010,3,G16962 10 5,*,BUNGE LIMITED,COM,,G16962,10,5,G1696210,G16962105
2010,3,G16962 90 5,,BUNGE LIMITED,CALL,,G16962,90,5,G1696290,G16962905
2010,3,G16962 95 5,,BUNGE LIMITED,PUT,,G16962,95,5,G1696295,G16962955
2010,3,G20045 20 2,*,CENTRAL EUROPEAN MEDIA ENTRP,CL A NEW,,G20045,20,2,G2004520,G20045202
2010,3,G20045 90 2,,CENTRAL EUROPEAN MEDIA ENTRP,CALL,,G20045,90,2,G2004590,G20045902
2010,3,G20045 95 2,,CENTRAL EUROPEAN MEDIA ENTRP,PUT,,G20045,95,2,G2004595,G20045952
2010,3,G2022L 10 6,*,CDC CORP,SHS A,DELETED,G2022L,10,6,G2022L10,G2022L106
2010,3,G2022L 90 6,,CDC CORP,CALL,DELETED,G2022L,90,6,G2022L90,G2022L906
2010,3,G2022L 95 6,,CDC CORP,PUT,DELETED,G2022L,95,6,G2022L95,G2022L956
2010,3,G2022L 11 4,*,CDC CORPORATION,SHS A NEW,ADDED,G2022L,11,4,G2022L11,G2022L114
2010,3,G2022L 90 4,,CDC CORPORATION,CALL,ADDED,G2022L,90,4,G2022L90,G2022L904
2010,3,G2022L 95 4,,CDC CORPORATION,PUT,ADDED,G2022L,95,4,G2022L95,G2022L954
2010,3,G21082 10 5,*,CHINA YUCHAI INTL LTD,COM,,G21082,10,5,G2108210,G21082105
2010,3,G21082 90 5,,CHINA YUCHAI INTL LTD,CALL,,G21082,90,5,G2108290,G21082905
2010,3,G21082 95 5,,CHINA YUCHAI INTL LTD,PUT,,G21082,95,5,G2108295,G21082955
2010,3,G2110R 10 6,*,CHIPMOS TECH BERMUDA LTD,SHS,,G2110R,10,6,G2110R10,G2110R106
2010,3,G2110R 90 6,,CHIPMOS TECH BERMUDA LTD,CALL,,G2110R,90,6,G2110R90,G2110R906
2010,3,G2110R 95 6,,CHIPMOS TECH BERMUDA LTD,PUT,,G2110R,95,6,G2110R95,G2110R956
2010,3,G2110U 10 9,,CHINA NATURAL RESOURCES INC,COM,,G2110U,10,9,G2110U10,G2110U109
2010,3,G21101 10 3,*,CHINA GERUI ADV MAT GR LTD,SHS,,G21101,10,3,G2110110,G21101103
2010,3,G21101 90 3,,CHINA GERUI ADV MAT GR LTD,CALL,,G21101,90,3,G2110190,G21101903
2010,3,G21101 95 3,,CHINA GERUI ADV MAT GR LTD,PUT,,G21101,95,3,G2110195,G21101953
2010,3,G21101 11 1,,CHINA GERUI ADV MAT GR LTD,*W EXP 03/19/201,,G21101,11,1,G2110111,G21101111
2010,3,G21101 12 9,,CHINA GERUI ADV MAT GR LTD,UNIT 03/19/2011,,G21101,12,9,G2110112,G21101129
2010,3,G21107 10 0,,CHINA CORD BLOOD CORP,SHS,,G21107,10,0,G2110710,G21107100
2010,3,G2112E 14 5,,CHINA HYDROELECTRIC CORPORAT,*W EXP 01/25/201,,G2112E,14,5,G2112E14,G2112E145
2010,3,G21176 30 3,,CHINA CABLECOM HOLDINGS LTD,SHS,,G21176,30,3,G2117630,G21176303
2010,3,G23773 10 7,,CONSOLIDATED WATER CO INC,ORD,,G23773,10,7,G2377310,G23773107
2010,3,G24140 10 8,*,COOPER INDUSTRIES PLC,SHS,,G24140,10,8,G2414010,G24140108
2010,3,G24140 90 8,,COOPER INDUSTRIES PLC,CALL,,G24140,90,8,G2414090,G24140908
2010,3,G24140 95 8,,COOPER INDUSTRIES PLC,PUT,,G24140,95,8,G2414095,G24140958
2010,3,G2519Y 10 8,*,CREDICORP LTD,COM,,G2519Y,10,8,G2519Y10,G2519Y108
2010,3,G2519Y 90 8,,CREDICORP LTD,CALL,,G2519Y,90,8,G2519Y90,G2519Y908
2010,3,G2519Y 95 8,,CREDICORP LTD,PUT,,G2519Y,95,8,G2519Y95,G2519Y958
2010,3,G25343 10 7,*,COSAN LTD,SHS A,,G25343,10,7,G2534310,G25343107
2010,3,G25343 90 7,,COSAN LTD,CALL,,G25343,90,7,G2534390,G25343907
2010,3,G25343 95 7,,COSAN LTD,PUT,,G25343,95,7,G2534395,G25343957
2010,3,G2554F 10 5,*,COVIDIEN PLC,SHS,,G2554F,10,5,G2554F10,G2554F105
2010,3,G2554F 90 5,,COVIDIEN PLC,CALL,,G2554F,90,5,G2554F90,G2554F905
2010,3,G2554F 95 5,,COVIDIEN PLC,PUT,,G2554F,95,5,G2554F95,G2554F955
2010,3,G27010 10 0,,DEHAIER MEDICAL SYSTEMS LIMI,SHS,,G27010,10,0,G2701010,G27010100
2010,3,G29438 10 1,,E FUTURE INFORMATION TECH IN,SHS,,G29438,10,1,G2943810,G29438101
2010,3,G30397 10 6,*,ENDURANCE SPECIALTY HLDGS LT,SHS,,G30397,10,6,G3039710,G30397106
2010,3,G30397 90 6,,ENDURANCE SPECIALTY HLDGS LT,CALL,,G30397,90,6,G3039790,G30397906
2010,3,G30397 95 6,,ENDURANCE SPECIALTY HLDGS LT,PUT,,G30397,95,6,G3039795,G30397956
2010,3,G3075P 10 1,,ENSTAR GROUP LIMITED,SHS,,G3075P,10,1,G3075P10,G3075P101
2010,3,G3156P 10 3,*,ASA LIMITED,SHS,,G3156P,10,3,G3156P10,G3156P103
2010,3,G3156P 90 3,,ASA LIMITED,CALL,,G3156P,90,3,G3156P90,G3156P903
2010,3,G3156P 95 3,,ASA LIMITED,PUT,,G3156P,95,3,G3156P95,G3156P953
2010,3,G3159C 10 9,*,CRYPTOLOGIC LIMITED,SHS,,G3159C,10,9,G3159C10,G3159C109
2010,3,G3159C 90 9,,CRYPTOLOGIC LIMITED,CALL,,G3159C,90,9,G3159C90,G3159C909
2010,3,G3159C 95 9,,CRYPTOLOGIC LIMITED,PUT,,G3159C,95,9,G3159C95,G3159C959
2010,3,G3163G 10 4,,CHINA METRO-RURAL HLDGS LTD,SHS,,G3163G,10,4,G3163G10,G3163G104
2010,3,G32030 10 1,,EURO TECH HOLDINGS CO LTD,ORD,,G32030,10,1,G3203010,G32030101
2010,3,G3223R 10 8,*,EVEREST RE GROUP LTD,COM,,G3223R,10,8,G3223R10,G3223R108
2010,3,G3223R 90 8,,EVEREST RE GROUP LTD,CALL,,G3223R,90,8,G3223R90,G3223R908
2010,3,G3223R 95 8,,EVEREST RE GROUP LTD,PUT,,G3223R,95,8,G3223R95,G3223R958
2010,3,G32335 10 4,,EXCEED COMPANY LTD,SHS,,G32335,10,4,G3233510,G32335104
2010,3,G32335 11 2,,EXCEED COMPANY LTD,*W EXP 11/08/201,,G32335,11,2,G3233511,G32335112
2010,3,G32335 12 0,,EXCEED COMPANY LTD,UNIT 11/08/2011,,G32335,12,0,G3233512,G32335120
2010,3,G3323L 10 0,,FABRINET,SHS,ADDED,G3323L,10,0,G3323L10,G3323L100
2010,3,G36738 10 5,*,FRESH DEL MONTE PRODUCE INC,ORD,,G36738,10,5,G3673810,G36738105
2010,3,G36738 90 5,,FRESH DEL MONTE PRODUCE INC,CALL,,G36738,90,5,G3673890,G36738905
2010,3,G36738 95 5,,FRESH DEL MONTE PRODUCE INC,PUT,,G36738,95,5,G3673895,G36738955
2010,3,G3682E 12 7,*,FRONTLINE LTD,SHS,,G3682E,12,7,G3682E12,G3682E127
2010,3,G3682E 90 7,,FRONTLINE LTD,CALL,,G3682E,90,7,G3682E90,G3682E907
2010,3,G3682E 95 7,,FRONTLINE LTD,PUT,,G3682E,95,7,G3682E95,G3682E957
2010,3,G36993 10 6,,FUNTALK CHINA HOLDINGS LIMIT,SHS,DELETED,G36993,10,6,G3699310,G36993106
2010,3,G3704F 10 2,,FUWEI FILMS HLDGS CO LTD,SHS,,G3704F,10,2,G3704F10,G3704F102
2010,3,G37260 10 9,*,GARMIN LTD,ORD,DELETED,G37260,10,9,G3726010,G37260109
2010,3,G37260 90 9,,GARMIN LTD,CALL,DELETED,G37260,90,9,G3726090,G37260909
2010,3,G37260 95 9,,GARMIN LTD,PUT,DELETED,G37260,95,9,G3726095,G37260959
2010,3,G38490 10 1,,GEROVA FINANCIAL GROUP LTD,ORD SHS REG S,DELETED,G38490,10,1,G3849010,G38490101
2010,3,G38490 14 3,,GEROVA FINANCIAL GROUP LTD,UNIT 01/16/2014,,G38490,14,3,G3849014,G38490143
2010,3,G3921A 17 5,*,GLOBAL CROSSING LTD,SHS NEW,,G3921A,17,5,G3921A17,G3921A175
2010,3,G3921A 90 5,,GLOBAL CROSSING LTD,CALL,,G3921A,90,5,G3921A90,G3921A905
2010,3,G3921A 95 5,,GLOBAL CROSSING LTD,PUT,,G3921A,95,5,G3921A95,G3921A955
2010,3,G3922B 10 7,*,GENPACT LIMITED,SHS,,G3922B,10,7,G3922B10,G3922B107
2010,3,G3922B 90 7,,GENPACT LIMITED,CALL,,G3922B,90,7,G3922B90,G3922B907
2010,3,G3922B 95 7,,GENPACT LIMITED,PUT,,G3922B,95,7,G3922B95,G3922B957
2010,3,G39300 10 1,,GLOBAL SOURCES LTD,ORD,,G39300,10,1,G3930010,G39300101
2010,3,G39319 10 1,*,GLOBAL INDEMNITY PLC,SHS,ADDED,G39319,10,1,G3931910,G39319101
2010,3,G39319 90 1,,GLOBAL INDEMNITY PLC,CALL,ADDED,G39319,90,1,G3931990,G39319901
2010,3,G39319 95 1,,GLOBAL INDEMNITY PLC,PUT,ADDED,G39319,95,1,G3931995,G39319951
2010,3,G39320 11 7,,GLOBAL TECH ADVANCED INNOVAT,SHS NEW,,G39320,11,7,G3932011,G39320117
2010,3,G4095J 10 9,*,GREENLIGHT CAPITAL RE LTD,CLASS A,,G4095J,10,9,G4095J10,G4095J109
2010,3,G4095J 90 9,,GREENLIGHT CAPITAL RE LTD,CALL,,G4095J,90,9,G4095J90,G4095J909
2010,3,G4095J 95 9,,GREENLIGHT CAPITAL RE LTD,PUT,,G4095J,95,9,G4095J95,G4095J959
2010,3,G4388N 10 6,*,HELEN OF TROY CORP LTD,COM,,G4388N,10,6,G4388N10,G4388N106
2010,3,G4388N 90 6,,HELEN OF TROY CORP LTD,CALL,,G4388N,90,6,G4388N90,G4388N906
2010,3,G4388N 95 6,,HELEN OF TROY CORP LTD,PUT,,G4388N,95,6,G4388N95,G4388N956
2010,3,G4412G 10 1,*,HERBALIFE LTD,COM USD SHS,,G4412G,10,1,G4412G10,G4412G101
2010,3,G4412G 90 1,,HERBALIFE LTD,CALL,,G4412G,90,1,G4412G90,G4412G901
2010,3,G4412G 95 1,,HERBALIFE LTD,PUT,,G4412G,95,1,G4412G95,G4412G951
2010,3,G4481U 10 6,,HIGHWAY HLDGS LTD,ORD,,G4481U,10,6,G4481U10,G4481U106
2010,3,G45667 10 5,,HOLLYSYS AUTOMATION TECHNOLO,SHS,,G45667,10,5,G4566710,G45667105
2010,3,G47791 10 1,*,INGERSOLL-RAND PLC,SHS,,G47791,10,1,G4779110,G47791101
2010,3,G47791 90 1,,INGERSOLL-RAND PLC,CALL,,G47791,90,1,G4779190,G47791901
2010,3,G47791 95 1,,INGERSOLL-RAND PLC,PUT,,G47791,95,1,G4779195,G47791951
2010,3,G491BT 10 8,*,INVESCO LTD,SHS,,G491BT,10,8,G491BT10,G491BT108
2010,3,G491BT 90 8,,INVESCO LTD,CALL,,G491BT,90,8,G491BT90,G491BT908
2010,3,G491BT 95 8,,INVESCO LTD,PUT,,G491BT,95,8,G491BT95,G491BT958
