year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2015,4,B38564 10 8,,EURONAV NV ANTWERPEN,SHS,,B38564,10,8,B3856410,B38564108
2015,4,D18190 89 8,*,DEUTSCHE BANK AG,NAMEN AKT,,D18190,89,8,D1819089,D18190898
2015,4,D18190 90 8,,DEUTSCHE BANK AG,CALL,,D18190,90,8,D1819090,D18190908
2015,4,D18190 95 8,,DEUTSCHE BANK AG,PUT,,D18190,95,8,D1819095,D18190958
2015,4,E0002V MY 7,,ABENGOA SA,DEBT  5.125% 3/0,,E0002V,MY,7,E0002VMY,E0002VMY7
2015,4,G00349 10 3,*,ABENGOA YIELD PLC,ORD SHS,,G00349,10,3,G0034910,G00349103
2015,4,G00349 90 3,,ABENGOA YIELD PLC,CALL,,G00349,90,3,G0034990,G00349903
2015,4,G00349 95 3,,ABENGOA YIELD PLC,PUT,,G00349,95,3,G0034995,G00349953
2015,4,G0129K 10 4,*,AIRCASTLE LTD,COM,,G0129K,10,4,G0129K10,G0129K104
2015,4,G0129K 90 4,,AIRCASTLE LTD,CALL,,G0129K,90,4,G0129K90,G0129K904
2015,4,G0129K 95 4,,AIRCASTLE LTD,PUT,,G0129K,95,4,G0129K95,G0129K954
2015,4,G0176J 10 9,*,ALLEGION PUB LTD CO,ORD SHS,,G0176J,10,9,G0176J10,G0176J109
2015,4,G0176J 90 9,,ALLEGION PUB LTD CO,CALL,,G0176J,90,9,G0176J90,G0176J909
2015,4,G0176J 95 9,,ALLEGION PUB LTD CO,PUT,,G0176J,95,9,G0176J95,G0176J959
2015,4,G01767 10 5,*,ALKERMES PLC,SHS,,G01767,10,5,G0176710,G01767105
2015,4,G01767 90 5,,ALKERMES PLC,CALL,,G01767,90,5,G0176790,G01767905
2015,4,G01767 95 5,,ALKERMES PLC,PUT,,G01767,95,5,G0176795,G01767955
2015,4,G0177J 10 8,*,ALLERGAN PLC,SHS,,G0177J,10,8,G0177J10,G0177J108
2015,4,G0177J 90 8,,ALLERGAN PLC,CALL,,G0177J,90,8,G0177J90,G0177J908
2015,4,G0177J 95 8,,ALLERGAN PLC,PUT,,G0177J,95,8,G0177J95,G0177J958
2015,4,G0177J 11 6,,ALLERGAN PLC,PFD CONV SER A,,G0177J,11,6,G0177J11,G0177J116
2015,4,G02602 10 3,*,AMDOCS LTD,SHS,,G02602,10,3,G0260210,G02602103
2015,4,G02602 90 3,,AMDOCS LTD,CALL,,G02602,90,3,G0260290,G02602903
2015,4,G02602 95 3,,AMDOCS LTD,PUT,,G02602,95,3,G0260295,G02602953
2015,4,G0335L 10 2,*,AMIRA NATURE FOODS LTD,SHS,,G0335L,10,2,G0335L10,G0335L102
2015,4,G0335L 90 2,,AMIRA NATURE FOODS LTD,CALL,,G0335L,90,2,G0335L90,G0335L902
2015,4,G0335L 95 2,,AMIRA NATURE FOODS LTD,PUT,,G0335L,95,2,G0335L95,G0335L952
2015,4,G037AX 10 1,*,AMBARELLA INC,SHS,,G037AX,10,1,G037AX10,G037AX101
2015,4,G037AX 90 1,,AMBARELLA INC,CALL,,G037AX,90,1,G037AX90,G037AX901
2015,4,G037AX 95 1,,AMBARELLA INC,PUT,,G037AX,95,1,G037AX95,G037AX951
2015,4,G0404E 10 4,,AOXIN TIANLI GROUP INC,USD COMMON SHS,,G0404E,10,4,G0404E10,G0404E104
2015,4,G0408V 10 2,*,AON PLC,SHS CL A,,G0408V,10,2,G0408V10,G0408V102
2015,4,G0408V 90 2,,AON PLC,CALL,,G0408V,90,2,G0408V90,G0408V902
2015,4,G0408V 95 2,,AON PLC,PUT,,G0408V,95,2,G0408V95,G0408V952
2015,4,G0441P 10 4,,ANDINA ACQUISITION CORP II,SHS,ADDED,G0441P,10,4,G0441P10,G0441P104
2015,4,G0441P 11 2,,ANDINA ACQUISITION CORP II,UNIT 99/99/9999,ADDED,G0441P,11,2,G0441P11,G0441P112
2015,4,G0441P 12 0,,ANDINA ACQUISITION CORP II,RIGHT 09/01/2017,ADDED,G0441P,12,0,G0441P12,G0441P120
2015,4,G0441P 13 8,,ANDINA ACQUISITION CORP II,*W EXP 11/23/202,ADDED,G0441P,13,8,G0441P13,G0441P138
2015,4,G0450A 10 5,*,ARCH CAP GROUP LTD,ORD,,G0450A,10,5,G0450A10,G0450A105
2015,4,G0450A 90 5,,ARCH CAP GROUP LTD,CALL,,G0450A,90,5,G0450A90,G0450A905
2015,4,G0450A 95 5,,ARCH CAP GROUP LTD,PUT,,G0450A,95,5,G0450A95,G0450A955
2015,4,G0457F 10 7,*,ARCOS DORADOS HOLDINGS INC,SHS CLASS -A -,,G0457F,10,7,G0457F10,G0457F107
2015,4,G0457F 90 7,,ARCOS DORADOS HOLDINGS INC,CALL,,G0457F,90,7,G0457F90,G0457F907
2015,4,G0457F 95 7,,ARCOS DORADOS HOLDINGS INC,PUT,,G0457F,95,7,G0457F95,G0457F957
2015,4,G0464B 10 7,*,ARGO GROUP INTL HLDGS LTD,COM,,G0464B,10,7,G0464B10,G0464B107
2015,4,G0464B 90 7,,ARGO GROUP INTL HLDGS LTD,CALL,,G0464B,90,7,G0464B90,G0464B907
2015,4,G0464B 95 7,,ARGO GROUP INTL HLDGS LTD,PUT,,G0464B,95,7,G0464B95,G0464B957
2015,4,G04897 10 7,,ATLANTIC ALLIANCE PARTNER CO,SHS,,G04897,10,7,G0489710,G04897107
2015,4,G05011 10 4,,AROWANA INC,SHS,,G05011,10,4,G0501110,G05011104
2015,4,G05011 11 2,,AROWANA INC,*W EXP 04/29/202,,G05011,11,2,G0501111,G05011112
2015,4,G05011 12 0,,AROWANA INC,RIGHT 01/01/2017,,G05011,12,0,G0501112,G05011120
2015,4,G05011 13 8,,AROWANA INC,UNIT 99/99/9999,,G05011,13,8,G0501113,G05011138
