year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2012,4,D18190 89 8,*,DEUTSCHE BANK AG,NAMEN AKT,,D18190,89,8,D1819089,D18190898
2012,4,D18190 90 8,,DEUTSCHE BANK AG,CALL,,D18190,90,8,D1819090,D18190908
2012,4,D18190 95 8,,DEUTSCHE BANK AG,PUT,,D18190,95,8,D1819095,D18190958
2012,4,G0129K 10 4,*,AIRCASTLE LTD,COM,,G0129K,10,4,G0129K10,G0129K104
2012,4,G0129K 90 4,,AIRCASTLE LTD,CALL,,G0129K,90,4,G0129K90,G0129K904
2012,4,G0129K 95 4,,AIRCASTLE LTD,PUT,,G0129K,95,4,G0129K95,G0129K954
2012,4,G01767 10 5,*,ALKERMES PLC,SHS,,G01767,10,5,G0176710,G01767105
2012,4,G01767 90 5,,ALKERMES PLC,CALL,,G01767,90,5,G0176790,G01767905
2012,4,G01767 95 5,,ALKERMES PLC,PUT,,G01767,95,5,G0176795,G01767955
2012,4,G0229R 10 8,*,ALTERRA CAPITAL HOLDINGS LIM,COM,,G0229R,10,8,G0229R10,G0229R108
2012,4,G0229R 90 8,,ALTERRA CAPITAL HOLDINGS LIM,CALL,,G0229R,90,8,G0229R90,G0229R908
2012,4,G0229R 95 8,,ALTERRA CAPITAL HOLDINGS LIM,PUT,,G0229R,95,8,G0229R95,G0229R958
2012,4,G02602 10 3,*,AMDOCS LTD,ORD,,G02602,10,3,G0260210,G02602103
2012,4,G02602 90 3,,AMDOCS LTD,CALL,,G02602,90,3,G0260290,G02602903
2012,4,G02602 95 3,,AMDOCS LTD,PUT,,G02602,95,3,G0260295,G02602953
2012,4,G0335L 10 2,,AMIRA NATURE FOODS LTD,SHS,ADDED,G0335L,10,2,G0335L10,G0335L102
2012,4,G037AX 10 1,,AMBARELLA INC,SHS,ADDED,G037AX,10,1,G037AX10,G037AX101
2012,4,G0408V 10 2,*,AON PLC,SHS CL A,,G0408V,10,2,G0408V10,G0408V102
2012,4,G0408V 90 2,,AON PLC,CALL,,G0408V,90,2,G0408V90,G0408V902
2012,4,G0408V 95 2,,AON PLC,PUT,,G0408V,95,2,G0408V95,G0408V952
2012,4,G0440W 10 0,,ANDINA ACQUISITION CORP,COM,,G0440W,10,0,G0440W10,G0440W100
2012,4,G0440W 11 8,,ANDINA ACQUISITION CORP,UNIT 99/99/9999,,G0440W,11,8,G0440W11,G0440W118
2012,4,G0440W 12 6,,ANDINA ACQUISITION CORP,*W EXP 99/99/999,,G0440W,12,6,G0440W12,G0440W126
2012,4,G0450A 10 5,*,ARCH CAP GROUP LTD,ORD,,G0450A,10,5,G0450A10,G0450A105
2012,4,G0450A 90 5,,ARCH CAP GROUP LTD,CALL,,G0450A,90,5,G0450A90,G0450A905
2012,4,G0450A 95 5,,ARCH CAP GROUP LTD,PUT,,G0450A,95,5,G0450A95,G0450A955
2012,4,G0457F 10 7,*,ARCOS DORADOS HOLDINGS INC,SHS CLASS -A -,,G0457F,10,7,G0457F10,G0457F107
2012,4,G0457F 90 7,,ARCOS DORADOS HOLDINGS INC,CALL,,G0457F,90,7,G0457F90,G0457F907
2012,4,G0457F 95 7,,ARCOS DORADOS HOLDINGS INC,PUT,,G0457F,95,7,G0457F95,G0457F957
2012,4,G0464B 10 7,*,ARGO GROUP INTL HLDGS LTD,COM,,G0464B,10,7,G0464B10,G0464B107
2012,4,G0464B 90 7,,ARGO GROUP INTL HLDGS LTD,CALL,,G0464B,90,7,G0464B90,G0464B907
2012,4,G0464B 95 7,,ARGO GROUP INTL HLDGS LTD,PUT,,G0464B,95,7,G0464B95,G0464B957
2012,4,G0471F 10 9,,APCO OIL & GAS INTERNATIONAL,SHS,,G0471F,10,9,G0471F10,G0471F109
2012,4,G0535E 10 6,,ASIA PACIFIC WIRE & CABLE CO,ORD,,G0535E,10,6,G0535E10,G0535E106
2012,4,G05384 10 5,*,ASPEN INSURANCE HOLDINGS LTD,SHS,,G05384,10,5,G0538410,G05384105
2012,4,G05384 90 5,,ASPEN INSURANCE HOLDINGS LTD,CALL,,G05384,90,5,G0538490,G05384905
2012,4,G05384 95 5,,ASPEN INSURANCE HOLDINGS LTD,PUT,,G05384,95,5,G0538495,G05384955
2012,4,G05384 11 3,,ASPEN INSURANCE HOLDINGS LTD,PFD PRP INC EQ,,G05384,11,3,G0538411,G05384113
2012,4,G0539K 10 8,*,ASIA ENTN & RESOURCES LTD,SHS,,G0539K,10,8,G0539K10,G0539K108
2012,4,G0539K 90 8,,ASIA ENTN & RESOURCES LTD,CALL,,G0539K,90,8,G0539K90,G0539K908
2012,4,G0539K 95 8,,ASIA ENTN & RESOURCES LTD,PUT,,G0539K,95,8,G0539K95,G0539K958
2012,4,G0585R 10 6,*,ASSURED GUARANTY LTD,COM,,G0585R,10,6,G0585R10,G0585R106
2012,4,G0585R 90 6,,ASSURED GUARANTY LTD,CALL,,G0585R,90,6,G0585R90,G0585R906
2012,4,G0585R 95 6,,ASSURED GUARANTY LTD,PUT,,G0585R,95,6,G0585R95,G0585R956
2012,4,G06368 10 7,,AUSTRALIA ACQUISITION CORP,SHS,DELETED,G06368,10,7,G0636810,G06368107
2012,4,G06368 11 5,,AUSTRALIA ACQUISITION CORP,*W EXP 99/99/999,DELETED,G06368,11,5,G0636811,G06368115
2012,4,G06368 12 3,,AUSTRALIA ACQUISITION CORP,UNIT 99/99/9999,DELETED,G06368,12,3,G0636812,G06368123
